time_s,reference_deg,angle_deg,error_deg,velocity_rad_s,tension_N,moment_arm_m,torque_raw_Nm,torque_applied_Nm,P_Nm,I_Nm,damping_Nm,saturated,fixed_excitation,TRIlong_activation,TRIlong_fiber_length_m,TRIlong_path_length_m,TRIlong_tendon_force_N,TRIlat_activation,TRIlat_fiber_length_m,TRIlat_path_length_m,TRIlat_tendon_force_N,TRImed_activation,TRImed_fiber_length_m,TRImed_path_length_m,TRImed_tendon_force_N,BIClong_activation,BIClong_fiber_length_m,BIClong_path_length_m,BIClong_tendon_force_N,BICshort_activation,BICshort_fiber_length_m,BICshort_path_length_m,BICshort_tendon_force_N,BRA_activation,BRA_fiber_length_m,BRA_path_length_m,BRA_tendon_force_N
0.0,20.0,20.0,0.0,0.0,0.0,0.05493894325960825,0.0,0.0,0.0,0.0,-0.0,0,0.01,0.01,0.14449698969461744,0.28557755705985177,17.765272954750962,0.01,0.07837730793289602,0.17457886819577106,5.008801194362888,0.01,0.07337894399239878,0.16220667167673056,4.705842639257135,0.01,0.1437280109365457,0.41925147468481194,52.46657298089497,0.01,0.1429595690143474,0.33636400573543934,10.228364055807457,0.01,0.08862232607374275,0.1423410529757139,14.367740812850883
0.01,20.0,19.996694908744242,0.0033050912557583776,-0.011476427973297364,0.03150163798264206,0.0549349762608944,0.0017305417347557306,0.0017305417347557308,0.0017305417347557306,0.0,0.0,0,0.01,0.01,0.144496206330054,0.28557616552756554,17.745716500710028,0.01,0.07837652926844095,0.17457747666348483,4.994548735460727,0.01,0.07337812333605628,0.16220528014444432,4.691936645161755,0.01,0.14372854048992448,0.4192526862854817,52.49024574590727,0.01,0.1429599472239544,0.336365217336109,10.239864216199607,0.01,0.08862269226711311,0.14234184006434275,14.404706192819603
0.02,20.0,19.9870118238251,0.01298817617490086,-0.022234756015887393,0.12397724089637087,0.05492335368875103,0.006809245851106866,0.006809245851106866,0.006800593142433087,8.652708673778653e-06,0.0,0,0.01,0.01,0.1444930363304797,0.28557208872625706,17.717840199204172,0.01,0.07837332540641338,0.17457339986217638,4.9756218147089095,0.01,0.07337484586597652,0.16220120334313587,4.6741546377390435,0.01,0.14373092452354383,0.41925623535460094,52.53070274635114,0.01,0.14296190325015642,0.3363687664052283,10.261867718998348,0.01,0.08862434760063825,0.14234414610762586,14.461940730039515
0.03,20.0,19.97152685390866,0.02847314609134022,-0.03172670948503933,0.2723107866421656,0.05490476631353566,0.014951160105243172,0.014951160105243173,0.014908504430857228,4.2655674385944085e-05,0.0,0,0.01,0.01,0.1444874847981771,0.2855655693154612,17.689477650143356,0.01,0.07836767543184915,0.17456688045138047,4.958378394182338,0.01,0.07336913615506291,0.16219468393233996,4.6580341090415,0.01,0.1437353138441323,0.4192619090375357,52.57533346199481,0.01,0.1429658434468513,0.3363744400881631,10.285842013624379,0.01,0.08862740314318635,0.1423478341024453,14.517669126898763
0.04,20.0,19.95108976009843,0.048910239901571166,-0.03952530024000565,0.4687760686161311,0.054880233112515754,0.025726539923221953,0.025726539923221953,0.025609341726681722,0.00011719819654023023,0.0,0,0.01,0.01,0.1444798577377284,0.28555696520641033,17.662144355462097,0.01,0.07835988891071098,0.17455827634232962,4.943773998180157,0.01,0.07336130999624144,0.16218607982328911,4.644393405205078,0.01,0.14374148421494937,0.41926939358112336,52.621032628425425,0.01,0.14297168008781225,0.3363819246317507,10.308662627518116,0.01,0.08863170547444942,0.1423527019448319,14.567582419649044
0.05,20.0,19.926768109750583,0.0732318902494157,-0.04529495185543738,0.7035304498146879,0.054851034499901544,0.0385893729745167,0.0385893729745167,0.038344128069343064,0.00024524490517363883,0.0,0,0.01,0.01,0.14447055911484474,0.28554672601270736,17.63708355773957,0.01,0.07835037867953362,0.17454803714862666,4.932417952092105,0.01,0.07335178176611128,0.16217584062958615,4.633797282435189,0.01,0.1437491034210001,0.41927829541026873,52.6656664619815,0.01,0.1429791280217699,0.33639082646089613,10.328820841531149,0.01,0.08863702486427279,0.14235849565895345,14.60950817035896
0.06,20.0,19.89979287477272,0.10020712522727779,-0.04880007270935974,0.9650966638376771,0.054818647295258635,0.05290529362074841,0.05290529362074841,0.052468328075228055,0.0004369655455203542,0.0,0,0.01,0.01,0.1444600641760298,0.28553537010779073,17.61540733805724,0.01,0.07833963137869869,0.17453668124371005,4.924751136603214,0.01,0.07334103841118231,0.16216448472466954,4.626656989209747,0.01,0.14375777472150686,0.419288161686763,52.70727854282997,0.01,0.14298780173003475,0.33640069273739037,10.345372768477574,0.01,0.08864308602817704,0.14236492228068495,14.641849052606478
0.07,20.0,19.871498748853927,0.1285012511460723,-0.04991354588199887,1.2409018955096918,0.05478467330481927,0.06798240494882944,0.06798240494882944,0.06728309776293295,0.0006993071858964945,0.0,0,0.01,0.01,0.14444889585685305,0.2855234594648828,17.598061377521102,0.01,0.07832818309921259,0.17452477060080207,4.9210437228098485,0.01,0.07332961531263883,0.16215257408176156,4.623224300017655,0.01,0.14376705989148564,0.41929850269303176,52.744068132735485,0.01,0.1429972582159006,0.3364110337436591,10.357659136426285,0.01,0.08864958394394909,0.14237166401172444,14.66344363773501
0.08,20.0,19.843260744485157,0.15673925551484383,-0.048621053535992706,1.5178638592647657,0.05475076334627727,0.0831042049504723,0.0831042049504723,0.08206848227576113,0.0010357226747111593,0.0,0,0.01,0.01,0.14443759971243592,0.2855115729429256,17.58578840582926,0.01,0.07831659360047061,0.17451288407884494,4.921390389976286,0.01,0.07331807058256976,0.16214068755980443,4.623586783315459,0.01,0.1437765012840341,0.419308815368732,52.77444319851562,0.01,0.14300702575769547,0.3364213464193594,10.365235485775914,0.01,0.08865619898565422,0.1423783932842182,14.673566054357982
0.09,20.0,19.81642972610024,0.18357027389975955,-0.045020450790574235,1.7830014461227348,0.05471853988027139,0.09756323573624842,0.09756323573624842,0.09611717065015846,0.001446065086089965,0.0,0,0.01,0.01,0.14442671823134393,0.2855002791410963,17.579098098104417,0.01,0.07830541988759059,0.17450159027701564,4.925710417067558,0.01,0.07330695874297069,0.16212939375797514,4.62766780921628,0.01,0.14378564384725218,0.4193186069672057,52.79707959499846,0.01,0.14301662875721147,0.33643113801783303,10.367857408224738,0.01,0.08866261219571882,0.1423847881102623,14.671936759692592
