time_s,reference_deg,angle_deg,error_deg,velocity_rad_s,tension_N,moment_arm_m,torque_raw_Nm,torque_applied_Nm,P_Nm,I_Nm,damping_Nm,saturated,fixed_excitation,TRIlong_activation,TRIlong_fiber_length_m,TRIlong_path_length_m,TRIlong_tendon_force_N,TRIlat_activation,TRIlat_fiber_length_m,TRIlat_path_length_m,TRIlat_tendon_force_N,TRImed_activation,TRImed_fiber_length_m,TRImed_path_length_m,TRImed_tendon_force_N,BIClong_activation,BIClong_fiber_length_m,BIClong_path_length_m,BIClong_tendon_force_N,BICshort_activation,BICshort_fiber_length_m,BICshort_path_length_m,BICshort_tendon_force_N,BRA_activation,BRA_fiber_length_m,BRA_path_length_m,BRA_tendon_force_N
0.0,20.0,20.0,0.0,0.0,0.0,0.05493894325960825,0.0,0.0,0.0,0.0,-0.0,0,0.01,0.01,0.14449698969461744,0.28557755705985177,17.765272954750962,0.01,0.07837730793289602,0.17457886819577106,5.008801194362888,0.01,0.07337894399239878,0.16220667167673056,4.705842639257135,0.01,0.1437280109365457,0.41925147468481194,52.46657298089497,0.01,0.1429595690143474,0.33636400573543934,10.228364055807457,0.01,0.08862232607374275,0.1423410529757139,14.367740812850883
0.01,20.0,19.996694908744242,0.0033050912557583776,-0.011476427973297364,0.03150163798264206,0.0549349762608944,0.0017305417347557306,0.0017305417347557308,0.0017305417347557306,0.0,0.0,0,0.01,0.01,0.144496206330054,0.28557616552756554,17.745716500710028,0.01,0.07837652926844095,0.17457747666348483,4.994548735460727,0.01,0.07337812333605628,0.16220528014444432,4.691936645161755,0.01,0.14372854048992448,0.4192526862854817,52.49024574590727,0.01,0.1429599472239544,0.336365217336109,10.239864216199607,0.01,0.08862269226711311,0.14234184006434275,14.404706192819603
0.02,20.0,19.9870118238251,0.01298817617490086,-0.022234756015887393,0.12381969937545767,0.05492335368875103,0.006800593142433087,0.006800593142433087,0.006800593142433087,0.0,0.0,0,0.01,0.01,0.1444930363304797,0.28557208872625706,17.717840199204172,0.01,0.07837332540641338,0.17457339986217638,4.9756218147089095,0.01,0.07337484586597652,0.16220120334313587,4.6741546377390435,0.01,0.14373092452354383,0.41925623535460094,52.53070274635114,0.01,0.14296190325015642,0.3363687664052283,10.261867718998348,0.01,0.08862434760063825,0.14234414610762586,14.461940730039515
0.03,20.0,19.97152650458261,0.028473495417389062,-0.0317279224636806,0.2715372171201742,0.05490476589421092,0.014908687337548687,0.014908687337548687,0.014908687337548687,0.0,0.0,0,0.01,0.01,0.14448748471506012,0.2855655691683912,17.68947559842198,0.01,0.07836767534915078,0.17456688030431047,4.958376901901611,0.01,0.07336913606793119,0.16219468378526997,4.6580326536285375,0.01,0.14373531390116312,0.419261909165502,52.57533592782138,0.01,0.14296584348764785,0.3363744402161294,10.285843220003256,0.01,0.0886274031826638,0.14234783418564603,14.517672982969094
0.04,20.0,19.951087014411282,0.04891298558871808,-0.0395324176986259,0.466666765988178,0.054880229816405696,0.025610779365110026,0.025610779365110026,0.025610779365110026,0.0,0.0,0,0.01,0.01,0.144479856991819,0.28555696405048064,17.662131346701564,0.01,0.07835988816288715,0.17455827518639994,4.943764690175451,0.01,0.07336130921888154,0.16218607866735943,4.644384398700081,0.01,0.14374148475262033,0.4192693945863836,52.62104889428332,0.01,0.14297168050066075,0.33638192563701097,10.308670836654537,0.01,0.08863170584759443,0.14235270259884983,14.567607229713788
0.05,20.0,19.926756694276385,0.07324330572361565,-0.045317996658640204,0.69916848660143,0.054851020794818794,0.038350105197657025,0.038350105197657025,0.038350105197657025,0.0,0.0,0,0.01,0.01,0.14447055574378348,0.2855467212069814,17.637038554670674,0.01,0.07835037528343762,0.17454803234290067,4.932386348584574,0.01,0.07335177826599475,0.16217583582386016,4.633766883506178,0.01,0.14374910592755188,0.41927829958702145,52.66572460356162,0.01,0.14297913004382928,0.33639083063764885,10.32885073318864,0.01,0.0886370266073353,0.14235849837841763,14.609594532244365
0.06,20.0,19.899758871191235,0.1002411288087645,-0.04885565478934143,0.9574510497597042,0.054818606467696845,0.052486132308860456,0.052486132308860456,0.052486132308860456,0.0,0.0,0,0.01,0.01,0.14446005356072117,0.28553535579340883,17.615292593052065,0.01,0.07833962064913624,0.17453666692932812,4.924672154015722,0.01,0.07334102741777064,0.16216447041028761,4.626581338913466,0.01,0.1437577827807389,0.4192881741191815,52.70743087832463,0.01,0.1429878084768377,0.33640070516980886,10.34545171716388,0.01,0.08864309164222595,0.14236493038227624,14.64206929866129
0.07,20.0,19.871416665044556,0.12858333495544363,-0.05002539208477497,1.2289239638458225,0.05478457473831374,0.06732607674501623,0.06732607674501623,0.06732607674501623,0.0,0.0,0,0.01,0.01,0.1444488692031306,0.2855234249117563,17.597818977781706,0.01,0.07832815609437091,0.17452473604767557,4.920880299496313,0.01,0.07332958776160249,0.16215253952863506,4.623068256799435,0.01,0.14376708042369746,0.4192985326818146,52.74439773405121,0.01,0.14299727590550895,0.336411063732442,10.357830036750261,0.01,0.08864959826849264,0.14237168357142674,14.663907474112113
0.08,20.0,19.843089512702285,0.156910487297714,-0.04881973714685425,1.5005899933006186,0.05475055771024087,0.08215813902761548,0.08215813902761548,0.08215813902761548,0.0,0.0,0,0.01,0.01,0.14443754245822238,0.28551150086603905,17.585338288007886,0.01,0.07831653548857966,0.1745128120019583,4.921093295150766,0.01,0.07331801148720236,0.1621406154829178,4.623303767552355,0.01,0.14377654585133662,0.41930887787969895,52.775068911211264,0.01,0.14300706504050398,0.3364214089303263,10.365558385325214,0.01,0.08865623012128299,0.14237843409248344,14.67442333104864
0.09,20.0,19.816109091415633,0.18389090858436596,-0.045342305232359076,1.7596546329765814,0.05471815478674908,0.09628505457843273,0.09628505457843273,0.09628505457843273,0.0,0.0,0,0.01,0.01,0.14442660856153736,0.2855001441812137,17.57833781562119,0.01,0.07830530842215974,0.17450145531713304,4.925219300648368,0.01,0.0733068456796693,0.16212925879809253,4.627200811822659,0.01,0.14378572987127605,0.419318723935622,52.7981590435748,0.01,0.14301670599255542,0.3364312549862494,10.368409830541204,0.01,0.08866267236778032,0.14238486453437704,14.673377103214168
